copy,weight,gender
sevilla,1,f
sewallis,1,f
shirley,1,f
sibella,2,f
sidney,1,f
sophia,3,f
sophie,1,f
steuarta,1,f
susan,3,f
susanna,3,f
susannah,2,f
sydney,1,f
sylvania,2,f
teresa,2,f
thedosia,1,f
theodora,2,f
theodosia,1,f
theresa,1,f
theresia,1,f
thirza,1,f
trasea,1,f
tryphena,2,f
una,1,f
urania,2,f
urith,1,f
vashti,1,f
victoria,1,f
virginia,2,f
virginius,1,f
virtue,2,f
wendela,1,f
wendelina,1,f
wilhelmina,4,f
williamina,1,f
winifred,3,f
wortley,1,f
